City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
Douglas,41.3,-96.17,64.4,67.0,1.0,21.92
Erzin,36.96,36.2,59.0,54.0,0.0,11.01
Kinkala,-4.36,14.76,71.11,96.0,83.0,1.92
Gorontalo,0.54,123.06,84.92,62.0,72.0,4.41
Tual,-5.67,132.75,83.03,70.0,91.0,12.12
Yanaul,56.27,54.93,31.23,97.0,69.0,13.27
Santa Isabel Rio Negro,-0.41,-65.02,71.29,94.0,99.0,0.65
Aloleng,16.13,119.78,86.25,68.0,93.0,8.59
Borogontsy,62.67,131.17,-6.77,88.0,95.0,4.47
Macao,22.2,113.55,78.8,57.0,40.0,14.99
Akonolinga,3.77,12.25,67.48,97.0,100.0,1.77
Puerto Baquerizo Moreno,-0.9,-89.6,66.24,82.0,25.0,12.46
Kīhei,20.79,-156.47,82.4,65.0,40.0,14.99
Devonport,-41.17,146.35,63.0,59.0,0.0,8.01
Chabahar,25.29,60.64,76.6,65.0,0.0,3.27
Chengde,40.97,117.94,45.97,43.0,0.0,11.18
Topolobampo,25.6,-109.05,73.99,89.0,0.0,1.99
Dalen,52.7,6.76,41.0,96.0,0.0,1.99
Kiunga,-6.12,141.29,92.43,48.0,96.0,3.33
Hay River,60.82,-115.8,15.8,85.0,95.0,3.36
Narsaq,60.92,-46.05,26.6,79.0,100.0,10.29
Bilibino,68.05,166.44,0.3,90.0,100.0,1.81
Luga,58.74,29.85,48.92,84.0,100.0,9.31
Saquena,-4.67,-73.52,75.22,90.0,97.0,2.17
Pālampur,32.12,76.53,66.72,22.0,0.0,3.69
El Sauzal de Rodríguez,31.9,-116.68,57.69,67.0,39.0,18.03
Road Town,18.42,-64.62,80.01,88.0,82.0,5.01
Kosino,58.41,51.28,34.47,95.0,100.0,13.44
Hope,33.67,-93.59,64.0,75.0,0.0,5.44
Bandarbeyla,9.49,50.81,76.19,80.0,56.0,12.46
North Battleford,52.78,-108.28,24.8,79.0,90.0,17.22
Meadow Lake,34.8,-106.54,64.4,53.0,90.0,16.11
Kudahuvadhoo,2.67,72.89,84.24,68.0,71.0,5.55
Fiumicino,41.77,12.23,53.01,93.0,2.0,3.36
Coahuayana Viejo,18.73,-103.68,74.71,86.0,81.0,2.64
Sørland,67.67,12.69,42.01,67.0,99.0,15.41
Siimusti,58.73,26.34,48.2,93.0,100.0,11.41
High Level,58.52,-117.14,12.2,92.0,90.0,2.24
Tabuk,17.42,121.44,81.77,81.0,100.0,3.67
Churapcha,62.0,132.43,-6.07,88.0,100.0,5.75
Palana,59.12,159.97,26.8,92.0,32.0,2.89
Ondjiva,-17.07,15.73,71.13,27.0,96.0,5.75
Arshan',46.27,44.22,37.4,93.0,0.0,13.42
Al Bardīyah,31.76,25.09,67.37,75.0,74.0,18.01
Yulara,-25.24,130.99,95.0,8.0,24.0,9.17
Cap Malheureux,-19.98,57.61,75.99,73.0,25.0,11.01
Finnsnes,69.23,17.98,32.0,91.0,100.0,16.11
Karratha,-20.74,116.85,91.99,28.0,0.0,17.74
San Andrés,12.58,-81.7,80.6,88.0,75.0,6.93
Platteville,42.73,-90.48,61.0,72.0,1.0,16.11
Kashan,33.98,51.44,60.6,37.0,98.0,2.62
Sistranda,63.73,8.83,42.8,87.0,75.0,10.29
Svetlaya,46.54,138.33,39.6,64.0,58.0,8.52
Zhuanghe,39.7,122.99,44.29,47.0,0.0,14.81
Champerico,14.3,-91.92,69.01,97.0,100.0,10.0
Vyartsilya,62.18,30.69,35.71,83.0,57.0,8.32
Kloulklubed,7.04,134.26,77.0,88.0,90.0,11.41
Behbahān,30.6,50.24,69.8,43.0,0.0,4.7
Zemio,5.03,25.14,68.49,93.0,100.0,1.39
Wasilla,61.58,-149.44,28.4,86.0,90.0,12.75
Aleksandrov Gay,50.15,48.57,35.62,87.0,1.0,10.45
Garden City,42.33,-83.33,53.6,71.0,1.0,5.35
Verkhnyaya Inta,65.98,60.31,28.18,98.0,100.0,7.61
Tabora,-5.02,32.8,66.2,82.0,20.0,4.05
Atasū,48.68,71.64,51.48,37.0,100.0,21.27
Kattivākkam,13.22,80.32,84.2,83.0,75.0,9.17
Batemans Bay,-35.72,150.18,64.0,65.0,18.0,3.0
Comodoro Rivadavia,-45.87,-67.5,59.0,62.0,0.0,5.82
Salamanca,40.83,-6.0,52.0,93.0,0.0,3.36
Broome,42.25,-75.83,55.4,58.0,1.0,6.93
Caernarfon,53.14,-4.27,57.2,71.0,98.0,2.24
Laguna,38.42,-121.42,53.6,58.0,1.0,4.7
Brantford,43.13,-80.27,55.0,72.0,1.0,7.31
Praia,14.92,-23.51,77.0,78.0,0.0,12.75
Straumen,63.87,11.3,44.01,86.0,75.0,12.75
Mariehamn,60.1,19.93,41.0,80.0,0.0,5.82
Mestia,43.05,42.73,30.42,78.0,7.0,3.65
Cabedelo,-6.98,-34.83,77.0,88.0,75.0,9.17
North Platte,41.12,-100.77,66.2,48.0,1.0,28.86
Sorgun,39.81,35.19,38.34,87.0,2.0,8.86
Mahon,39.89,4.27,60.8,93.0,0.0,2.24
Ucluelet,48.93,-125.55,37.99,68.0,0.0,10.04
Riviere-au-Renard,49.0,-64.4,32.0,90.0,75.0,3.36
Klaksvík,62.23,-6.59,42.8,87.0,94.0,3.36
Kākināda,16.93,82.22,82.4,69.0,0.0,6.93
Nara,34.69,135.8,70.0,60.0,40.0,9.17
Kasongo-Lunda,-6.47,16.82,70.09,94.0,100.0,1.12
Half Moon Bay,37.46,-122.43,53.6,71.0,90.0,18.34
Yokadouma,3.52,15.05,69.96,93.0,97.0,0.94
Mujiayingzi,42.12,118.78,38.17,50.0,0.0,13.31
West Wendover,40.74,-114.07,42.8,41.0,20.0,16.11
Ganta,7.3,-8.53,69.04,99.0,30.0,1.61
Lloydminster,53.28,-110.0,21.2,92.0,90.0,17.22
Berbera,10.44,45.01,77.47,73.0,52.0,4.29
Tommot,58.96,126.29,4.21,89.0,100.0,8.32
Rio Grande City,26.38,-98.82,73.0,87.0,0.0,4.0
Rockland,41.17,-74.05,59.0,60.0,4.0,4.65
Lábrea,-7.26,-64.8,74.64,94.0,58.0,1.03
